,Title,Interventions,Phases
896,rituximab addition autologous transplantation beam patients lymphoid malign,drug  carmustine drug  etoposide drug  cytarabine drug  melphalan drug  rituximab,phase 2
897,chemotherapy  radiation therapy  rituximab  umbilical cord blood transplant treating patients b cell non hodgkin lymphoma,biological  filgrastim biological  rituximab drug  cyclophosphamide drug  cyclosporine drug  fludarabine phosphate drug  mycophenolate mofetil procedure  allogeneic hematopoietic stem cell transplantation procedure  umbilical cord blood transplantation radiation  total body irradi,phase 2
898,vaccine therapy plus sargramostim following chemotherapy treating patients stage iii stage iv non hodgkin lymphoma,biological  keyhole limpet hemocyanin biological  sargramostim biological  tumor cell based vaccine therapi,phase 2
899,eltrombopag bcl extra large  xl  pathway idiopathic thrombocytopenic purpura  itp ,drug  promacta  eltrombopag ,phase 2
900,chemotherapy  total body irradiation  rituximab  donor stem cell transplant treating patients b cell non hodgkin lymphoma chronic lymphocytic leukemia,biological  anti thymocyte globulin biological  filgrastim biological  graft versus tumor induction therapy biological  rituximab drug  cyclophosphamide drug  cyclosporine drug  fludarabine phosphate drug  mycophenolate mofetil procedure  nonmyeloablative allogeneic hematopoietic stem cell transplantation radiation  total body irradi,phase 2
901,vaccine therapy plus sargramostim following chemotherapy treating patients previously untreated aggressive non hodgkin lymphoma,biological  keyhole limpet hemocyanin biological  sargramostim biological  tumor cell based vaccine therapy drug  cyclophosphamide drug  doxorubicin hydrochloride drug  mitoxantrone hydrochloride drug  prednisone drug  vincristine sulf,phase 2
902,ascorbic acid combination chemotherapy treating patients relapsed refractory lymphoma,dietary supplement  ascorbic acid drug  carboplatin drug  cisplatin drug  cytarabine drug  dexamethasone drug  etoposide drug  gemcitabine hydrochloride drug  ifosfamide laboratory biomarker analysis drug  oxaliplatin placebo questionnaire administration biological  rituximab,phase 2
903,ibritumomab tiuxetan treatment non follicular cd20  indolent lymphoma,drug  zevalin drug  rituximab drug   111 ibritumomab tiuxetan,phase 2
904,rituxan plus favid  idiotype vaccine  low grade non hodgkin lymphoma,biological  id klh,phase 2
905,clinical trial mitoxantrone hcl liposome injection patients relapsed dlbcl pt nkcl,drug  mitoxantrone hcl liposome inject,phase 2
906,bortezomib rituximab treating patients relapsed refractory b cell non hodgkin lymphoma,drug  bortezomib drug  rituximab procedure  antibody therapy procedure  biological therapy procedure  enzyme inhibitor therapy procedure  monoclonal antibody therapi,phase 2
907,allogenic stem cell transplantation  sct  non myeloablative conditioning patients relapse non hodgkin lymphoma  nhl ,drug  ibritumomab tiuxetan  zevalin ,phase 2
908,study entospletinib  ento  newly diagnosed dlbcl patients aaipi  1 treated chemiotherapi,drug  entospletinib drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 1 phase 2
909,idiotype vaccine low grade non hodgkin lymphoma,biological  favid  id klh  active immunotherapi,phase 2
910,chemotherapy monoclonal antibody therapy treating patients b cell non hodgkin lymphoma relapsed following peripheral stem cell transpl,biological  rituximab drug  vinorelbine ditartr,phase 2
911,influenza vaccination patients receiving antineoplastic therapy non hodgkin lymphoma,biological  trivalent baculovirus expressed influenza ha vaccin,phase 2
912,chemoimmunotherapy early central nervous system  cns  prophylaxi,drug  liposomal cytarabin,phase 2
913,high dose intravenous methotrexate versus intrathecal methotrexate central nervous system prophylaxis dlbcl,drug  intrathecal methotrexate drug  high dose intravenous methotrex,phase 3
914,combination chemotherapy plus interferon alfa rituximab treating patients stage iii stage iv lymphoma,biological  recombinant interferon alfa biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulf,phase 2
915,study incb050465 subjects relapsed refractory marginal zone lymphoma  citadel 204 ,drug  incb050465,phase 2
916,peripheral stem cell transplantation plus combination chemotherapy monoclonal antibody therapy treating patients non hodgkin lymphoma,biological  filgrastim biological  rituximab biological  sargramostim drug  carmustine drug  cisplatin drug  cyclophosphamide drug  dexamethasone drug  etoposide drug  gemcitabine hydrochloride drug  melphalan drug  paclitaxel procedure  bone marrow ablation stem cell support procedure  peripheral blood stem cell transplant,phase 2
917,combination chemotherapy  rituximab  ixazomib citrate treating patients non hodgkin lymphoma,drug  cyclophosphamide drug  cytarabine drug  doxorubicin hydrochloride drug  etoposide drug  ixazomib citrate laboratory biomarker analysis drug  methotrexate drug  prednisone biological  rituximab drug  therapeutic hydrocortisone drug  vincristine sulf,phase 1 phase 2
918,s0349 rituximab  cyclophosphamide  doxorubicin  vincristine  prednisone without oblimersen treating patients advanced diffuse large b cell non hodgkin lymphoma,biological  oblimersen sodium biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  vincristine sulfate drug  prednisone laboratory biomarker analysi,phase 2
919,genetically engineered lymphocyte therapy peripheral blood stem cell transplant treating patients high risk  intermediate grade  b cell non hodgkin lymphoma,procedure  peripheral blood stem cell transplantation  pbsct  biological  filgrastim genetic  polymerase chain reaction biological  rituximab biological  genetically engineered lymphocyte therapy laboratory biomarker analysis drug  plerixafor procedure  autologous hematopoietic stem cell transplant,phase 1 phase 2
920,rituximab carmustine  cytarabine  etoposide  melphalan followed autologous hematopoietic stem cell transplantation treating patients b cell non hodgkin lymphoma,biological  rituximab drug  carmustine drug  cytarabine drug  etoposide drug  melphalan procedure  autologous bone marrow transplantation procedure  peripheral blood stem cell transplant,phase 2
921,dose finding study bromodomain  brd  inhibitor otx015 mk 8628 hematologic malignancies  mk 8628 001 ,drug  otx015 mk 8628,phase 1
922,entospletinib combination idelalisib adults relapsed refractory hematologic malign,drug  entospletinib drug  idelalisib,phase 2
923,rituximab treating young patients receiving chemotherapy b cell non hodgkin lymphoma b cell acute lymphoblastic leukemia,biological  rituximab,phase 2
924,swog 9704 chemoradiotherapy peripheral stem cell transplantation compared combination chemotherapy treating patients non hodgkin lymphoma,biological  rituximab drug  chop regimen drug  carmustine drug  cyclophosphamide drug  doxorubicin hydrochloride drug  etoposide drug  prednisone drug  vincristine sulfate procedure  bone marrow ablation stem cell support procedure  peripheral blood stem cell transplantation radiation  radiation therapi,phase 3
925,treatment good prognosis  bcl 6 negative diffuse large cell lymphoma chop r patients   61 years old ,drug  rituximab,nan
926,pf 06821497 treatment relapsed refractory sclc  castration resistant prostate cancer  follicular lymphoma,drug  pf 06821497,phase 1
927,pilot study pembrolizumab treatment disease relapse allogeneic stem cell transpl,drug  pembrolizumab,early phase 1
928,pembrolizumab untreated b cell non hodgkin lymphoproliferative disea,laboratory biomarker analysis biological  pembrolizumab,phase 2
929,antibiotic therapy antacids patients malt lymphoma stomach,drug  amoxicillin drug  bismuth subsalicylate drug  clarithromycin drug  metronidazole hydrochloride drug  omeprazole drug  tetracycline hydrochlorid,phase 2
930,phase 1 multiple ascending dose study ds 3201b japanese subjects lymphoma,drug  ds 3201b,phase 1
931,identification hematological malignancies therapy predication using micrornas diagnostic tool,nan,nan
932,administration anti cd19 chimeric antigen receptor transduced cells original transplant donor patients recurrent persistent b cell malignancies allogeneic stem cell transpl,procedure  allogeneic stem cell transplant biological  anti cd19 chimeric antigen receptor  transduced cel,phase 1
933,therapy non hodgkin lymphoma combination lenalidomide   rituximab  dexa  high dose ara c cisp,drug  rituximab drug  cisplatin drug  carboplatin drug  dexamethasone drug  cytarabine drug  lenalidomide drug  pegfilgrastim procedure  peripheral stem cell collect,phase 1 phase 2
934,prognostic value interim pet ct 2 cycles chemotherapy predicting progression non hodgkins lymphoma,nan,nan
935,monoclonal antibody therapy treating patients non hodgkin lymphoma relapsed high dose chemotherapy autologous stem cell transpl,biological  rituximab radiation  yttrium 90 ibritumomab tiuxetan,phase 1 phase 2
936,bryostatin 1 plus vincristine treating patients recurrent refractory hiv related lymphoma,drug  bryostatin 1 drug  vincristine sulf,phase 1
937,oblimersen  rituximab combination chemotherapy treating patients relapsed refractory aggressive non hodgkin lymphoma,biological  oblimersen sodium biological  rituximab drug  ifosfamide drug  carboplatin drug  etoposide biological  filgrastim biological  pegfilgrastim laboratory biomarker analysi,phase 1 phase 2
938,zevalin beam aggressive lymphoma,drug  ibritumomab tiuxetan procedure  beam chemotherapy autologous stem cell transplant,phase 3
939,combination chemotherapy plus rituximab treating patients relapsed non hodgkin lymphoma,biological  rituximab drug  cisplatin drug  cytarabine drug  dexamethasone drug  sargramostim,phase 2
940,activated cells expressing 2nd 3rd generation cd19 specific car  advanced b cell nhl  cll  sagan ,biological  cd19 car cells drug  fludarabine drug  cyclophosphamid,phase 1
941,combination study urelumab rituximab patients b cell non hodgkins lymphoma,biological  urelumab biological  rituximab,phase 1
942,radioimmunotherapy patients relapsed refractory non hodgkin lymphoma,biological  90 ibritumomab tiuxetan biological  rituximab radiation  indium 111 ibritumomab tiuxetan,phase 2
943,radiolabeled monoclonal antibody therapy high dose chemotherapy followed autologous peripheral stem cell transplant treating patients relapsed refractory non hodgkin lymphoma,biological  filgrastim biological  rituximab drug  carmustine drug  cytarabine drug  etoposide drug  melphalan procedure  peripheral blood stem cell transplantation radiation  yttrium 90 ibritumomab tiuxetan,phase 1
944,evaluation safety efficacy nipent  cytoxan  rituxan,drug  cytoxan drug  nipent drug  rituxan,phase 2
945,biological therapy plus monoclonal antibody therapy treating patients relapsed refractory non hodgkin lymphoma,biological  rituximab drug  agatolimod sodium,phase 1
946,mogamulizumab pembrolizumab treating patients relapsed refractory lymphoma,laboratory biomarker analysis biological  mogamulizumab biological  pembrolizumab,phase 1 phase 2
947,phase study bendamustine hydrochloride patients indolent b cell non hodgkin lymphoma,drug  bendamustine hydrochlorid,phase 1
948,combination chemotherapy rituximab treating patients hiv associated stage stage ii  stage iii  stage iv non hodgkin lymphoma,biological  rituximab drug  etoposide drug  doxorubicin hydrochloride drug  vincristine sulfate drug  prednisone drug  cyclophosphamide laboratory biomarker analysi,phase 2
949,pegfilgrastim combination chemotherapy without rituximab treating older patients aggressive b cell non hodgkin lymphoma,biological  pegfilgrastim biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulf,phase 2
950,peripheral stem cell transplantation treating patients relapsed low  intermediate grade non hodgkin lymphoma,biological  filgrastim drug  chemotherapy procedure  vitro treated peripheral blood stem cell transplantation procedure  peripheral blood stem cell transplantation radiation  radiation therapi,phase 2
951,rituximab combination chemotherapy treating patients stage ii  stage iii  stage iv diffuse large b cell non hodgkin lymphoma,biological  filgrastim biological  rituximab drug  carboplatin drug  cyclophosphamide drug  doxorubicin hydrochloride drug  etoposide drug  ifosfamide drug  prednisone drug  vincristin,phase 2
952,pentostatin rituximab treating patients low grade non hodgkin lymphoma chronic lymphocytic leukemia,biological  rituximab drug  pentostatin,phase 2
953,monoclonal antibody therapy treating patients relapsed refractory non hodgkin lymphoma,biological  apolizumab,phase 2
954,lymphocyte reconstitution administration pegfilgrastim versus filgrastim peripheral stem cell transpl,drug  pegfilgrastim drug  filgrastim,applicable
955,double blind  randomized controlled study cd20 positive diffuse b cell non hodgkin lymphoma subject,biological  tl011 biological  rituximab,phase 1
956,denileukin diftitox treating patients non hodgkin lymphoma,biological  denileukin diftitox,phase 2
957,long term extension study pci 32765  ibrutinib ,drug  pci 32765  ibrutinib ,phase 3
958,study assess efficacy safety ublituximab   tgr 1202 without bendamustine tgr 1202 alone patients previously treated non hodgkins lymphoma,drug  tgr 1202   ublituximab drug  tgr 1202 drug  tgr 1202   ublituximab   bendamustin,phase 2 phase 3
959,pegfilgrastim rituximab treating patients untreated  relapsed  refractory follicular lymphoma  small lymphocytic lymphoma  marginal zone lymphoma,biological  pegfilgrastim biological  rituximab flow cytometry procedure  biopsy immunohistochemistry staining method genetic  western blot,phase 2
960,safety  tolerability pharmacokinetics mrg 106 patients mycosis fungoides  mf   cll  dlbcl atl,drug  mrg 106,phase 1
961,cd19 cd22 chimeric antigen receptor  car  cells children young adults recurrent refractory cd19 cd22 expressing b cell malign,biological  cd19 cd22 car cells drug  fludarabine drug  cyclophosphamid,phase 1
962,pomalidomide dexamethasone treating patients relapsed refractory primary central nervous system lymphoma newly diagnosed relapsed refractory intraocular lymphoma,drug  dexamethasone laboratory biomarker analysis pharmacological study drug  pomalidomid,phase 1
963,phase 1 2 multi center study evaluating axicabtagene ciloleucel subjects refractory aggressive non hodgkin lymphoma  zuma 1 ,biological  axicabtagene ciloleucel,phase 1 phase 2
964,japanese phase ib ii copanlisib relapsed  indolent b cell nhl,drug  copanlisib  bay80 6946 ,phase 1 phase 2
965,safety efficacy revlimid®  lenalidomide  mabthera®  rituximab  non hodgkin lymphoma,drug  lenalidomide rituximab,phase 2
966,study velcade temsirolimus relapsed refractory non hodgkin lymphoma,drug  velcade drug  temsirolimu,phase 2
967,safety efficacy study immunotherapy rituximab interleukin 2 patients non hodgkin lymphoma,biological  rituximab biological  interleukin 2,phase 2
968,rituximab plus campath patients relapsed refractory low grade follicular  cd20 positive  b cell nhl,drug  campath  alemtuzumab ,phase 1 phase 2
969,phase ii carfilzomib plus lenalidomide rituximab treatment relapsed refractory mantle cell lymphoma,drug  carfilzomib drug  lenalidomide drug  rituximab,phase 1 phase 2
970,cells ebv specific ctls  advanced b cell nhl cl,biological  autologous syngeneic pbtls ebv ctl,phase 1
971,umbilical cord blood transplantation using myeloablative preparative regimen hematological disea,drug  fludarabine drug  cyclophosphamide radiation  total body irradiation drug  cyclosporine drug  mycophenylate mofetil biological  umbilical cord blood,applicable
972,molecular risk assessment planning treatment patients non hodgkin lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin hydrochloride drug  prednisone drug  vincristine sulfate genetic  microarray analysi,phase 2
973,study assess abp798 safe   effective treating non hodgkin lymphoma compared rituximab,drug  abp 798 drug  rituximab,phase 3
974,iodine 131 anti b1 antibody consolidation patients non hodgkin lymphoma following first line chop,drug  tositumomab iodine 131 tositumomab,phase 2
975,study safety efficacy c car011 b nhl pati,biological  c car011,phase 1
976,evaluation human immune responses influenza virus vaccination patients lymphoma,biological  inactivated influenza vaccin,phase 1
977,phase dose escalation study safety pharmacokinetics lam 002a patients non hodgkin lymphoma  lam 002a nhl ,drug  lam 002a drug  rituximab drug  atezolizumab,phase 1
978,bl22 immunotoxin treating patients non hodgkin lymphoma chronic lymphocytic leukemia,drug  bl22 immunotoxin procedure  antibody therapy procedure  biological response modifier therapy procedure  immunotoxin therapi,phase 1
979,pentostatin  cyclophosphamide  rituximab  mitoxantrone treating patients chronic lymphocytic leukemia low grade b cell canc,biological  filgrastim biological  pegfilgrastim biological  rituximab biological  sargramostim drug  cyclophosphamide drug  mitoxantrone hydrochloride drug  pentostatin genetic  fluorescence situ hybridization genetic  gene rearrangement analysis genetic  polymerase chain reaction genetic  protein expression analysis flow cytometry procedure  biopsi,phase 1 phase 2
980,safety pharmacokinetic study btct4465a  mosunetuzumab  single agent combined atezolizumab non hodgkin lymphoma  nhl  chronic lymphocytic leukemia  cll ,drug  btct4465a  mosunetuzumab  iv drug  atezolizumab drug  btct4465a  mosunetuzumab  sc,phase 1
981,combination chemotherapy treating children non hodgkin lymphoma,drug  asparaginase drug  cyclophosphamide drug  cytarabine drug  daunorubicin hydrochloride drug  dexamethasone drug  etoposide drug  mercaptopurine drug  methotrexate drug  methylprednisolone drug  mitoxantrone hydrochloride drug  prednisone drug  vincristine sulfate radiation  radiation therapi,phase 3
982,alisertib romidepsin treating patients relapsed refractory b cell cell lymphoma,drug  alisertib laboratory biomarker analysis drug  romidepsin,phase 1
983,study pralatrexate   gemcitabine b12   folic acid treat relapsed refractory lymphoproliferative malign,drug  pralatrexate injection drug  gemcitabine hydrochloride dietary supplement  vitamin b12 dietary supplement  folic acid,phase 1 phase 2
984,denileukin diftitox treating patients relapsed refractory non hodgkin lymphoma,biological  denileukin diftitox,phase 2
985,compassionate use trial ublituximab tgr 1202 combination single agents subjects currently receiving treatment ublituximab tgr 1202 tri,drug  tgr 1202 drug  tgr 1202   ublituximab,phase 2
986,trial oxaliplatin  cytosine arabinoside  dexamethasone rituxan  road  patients relapsed non hodgkins lymphoma,drug  oxaliplatin  cytosine arabinoside  dexamethasone rituxan  road ,phase 2
987,phase ii study evaluating combination pegylated liposomal doxorubicin dexamethasone treatment immunocompetent patients cerebral lymphoma relapsed refractory first line chemotherapy high dose methotrexate  mtxhd  high dose cytarabine ,drug  infusion myocet,phase 2
988,pembrolizumab ibrutinib treating patients relapsed refractory non hodgkin lymphoma,drug  ibrutinib laboratory biomarker analysis biological  pembrolizumab,phase 1
989,rituximab followed combination chemotherapy treating patients refractory recurrent non hodgkin lymphoma,biological  rituximab biological  sargramostim drug  epoch regimen drug  cyclophosphamide drug  doxorubicin hydrochloride drug  etoposide drug  prednisone drug  vincristine sulf,phase 2
990,low dose radiation therapy treating patients stage iv stomach malt lymphoma,radiation  radiation therapi,applicable
991,copanlisib rituximab marginal zone lymphoma pati,drug  copanlisib,phase 2
992,study alisertib  mln8237  adults aggressive non hodgkin lymphoma,drug  alisertib,phase 2
993,safety pharmacokinetics  pk  study venetoclax participants non hodgkin lymphoma,drug  venetoclax drug  cyclophosphamide drug  obinutuzumab drug  rituximab drug  doxorubicin drug  vincristine drug  prednison,phase 1 phase 2
994,lenalidomide blinatumomab treating patients relapsed non hodgkin lymphoma,biological  blinatumomab laboratory biomarker analysis drug  lenalidomid,phase 1
995,obinutuzumab marginal zone lymphoma,drug  obinutuzumab,phase 2
996,cyclophosphamide w w rituximab peripheral stem cell transplantation patients recurrent non hodgkin lymphoma,biological  filgrastim biological  rituximab drug  carmustine drug  cisplatin drug  cyclophosphamide drug  etoposide procedure  bone marrow ablation stem cell support procedure  peripheral blood stem cell transplantation radiation  radiation therapi,phase 2
997,study ym155 plus rituximab subjects non hodgkin lymphoma received prior treat,drug  ym155 biological  rituximab,phase 2
998,carfilzomib plus belinostat relapsed refractory nhl,drug  carfilzomib drug  belinostat,phase 1
999,monoclonal antibody therapy  combination chemotherapy  peripheral stem cell transplant treating patients relapsed refractory non hodgkin lymphoma,drug  carmustine drug  cytarabine drug  etoposide drug  melphalan procedure  peripheral blood stem cell transplantation radiation  tositumomab iodine 131 tositumomab,phase 2
